"name","freq.P1","freq.P2","freq.P3","freq.P4","clone.count"
"COVIDAIM_CD4_001_TCR.th.4.AIMposi.csv","0.0162320258546664","0.0222771003755724","0.0371680065126692","0.0196456898177421","228"
"COVIDAIM_CD4_002_TCR.th.4.AIMposi.csv","0.0259186135364827","0.0337956799931292","0.0361993712419498","0.0336339971149542","471"
"COVIDAIM_CD4_003_TCR.th.4.AIMposi.csv","0.0140191478241892","0.0225451732331326","0.0290323661462172","0.0149616330400261","372"
"COVIDAIM_CD4_005_TCR.th.4.AIMposi.csv","0.0145903703345601","0.0233631381597923","0.02083669120149","0.0125255963619924","538"
"COVIDAIM_CD4_008_TCR.th.4.AIMposi.csv","0.011639654422885","0.0210164310278945","0.0321332682450574","0.0167662249033204","381"
"COVIDAIM_CD4_009_TCR.th.4.AIMposi.csv","0.0100324792493685","0.0101275045537341","0.0416081443668452","0.0155140133076015","355"
"COVIDAIM_CD4_012_TCR.th.4.AIMposi.csv","0.0165539295237275","0.0211660399872352","0.022631556855228","0.0153515356084661","732"
"COVIDAIM_CD4_021_TCR.th.4.AIMposi.csv","0.0234507423076748","0.0323916019329408","0.0290675594861341","0.025796658149834","1628"
"COVIDAIM_CD4_023_TCR.th.4.AIMposi.csv","0.0199309146816285","0.0294063506672803","0.0319717816850211","0.0243621753843424","715"
"COVIDAIM_CD4_027_TCR.th.4.AIMposi.csv","0.00385384434937054","0.00354194635665115","0.0055917667238422","0.00264284119985637","136"
"COVIDAIM_CD4_031_TCR.th.4.AIMposi.csv","0.0247898314006595","0.0171145132586992","0.0197172688658945","0.0106861938067942","778"
"COVIDAIM_CD4_034_TCR.th.4.AIMposi.csv","0.00332260589719057","0.00466845959826177","0.0110268613860789","0.00512054109439952","102"
"COVIDAIM_CD4_035_TCR.th.4.AIMposi.csv","0.00782288383397258","0.0110268845948217","0.0107298868716079","0.0091648681161215","297"
"COVIDAIM_CD4_038_TCR.th.4.AIMposi.csv","0.0267807973183287","0.0229215652688457","0.0605064210018578","0.0318783250923202","1396"
"COVIDAIM_CD4_040_TCR.th.4.AIMposi.csv","0.00105984329459858","0.00161821649424955","0.00906544915393848","0.00123005626459767","93"
"COVIDAIM_CD8_001_TCR.th.4.AIMposi.csv","0.0491047454385896","0.031480337361169","0.0491383465895396","0.0387921335673462","117"
"COVIDAIM_CD8_002_TCR.th.4.AIMposi.csv","0.037527176481709","0.0587675128492786","0.112357512718435","0.0661414194915254","54"
"COVIDAIM_CD8_003_TCR.th.4.AIMposi.csv","0.0342878311814827","0.0298121014869754","0.0278449346115431","0.0375632421270005","95"
"COVIDAIM_CD8_005_TCR.th.4.AIMposi.csv","0.0124019843174908","0.0302968374802023","0.146931617784696","0.0395732718229655","95"
"COVIDAIM_CD8_008_TCR.th.4.AIMposi.csv","0.0170183437599406","0.0168628857148549","0.0199119755803223","0.017011866707536","42"
"COVIDAIM_CD8_009_TCR.th.4.AIMposi.csv","0.0190878460075126","0.0173501577287066","0.0771719832770174","0.0337344572083963","71"
"COVIDAIM_CD8_012_TCR.th.4.AIMposi.csv","0.00203778249177371","0.00204155505683052","0.00422055083599372","0.00180437695399732","18"
"COVIDAIM_CD8_021_TCR.th.4.AIMposi.csv","0.167180066399699","0.136860589402962","0.338051239643135","0.19765778178157","112"
"COVIDAIM_CD8_023_TCR.th.4.AIMposi.csv","0.0120924128581936","0.0124832667631662","0.0465240356399723","0.0324095637323397","99"
"COVIDAIM_CD8_027_TCR.th.4.AIMposi.csv","0.00789216913764668","0.00523106210323382","0.00841973561414844","0.0131441148800966","22"
"COVIDAIM_CD8_031_TCR.th.4.AIMposi.csv","0.0287872717907629","0.0192104595423093","0.0285551924989345","0.0238597621819391","137"
"COVIDAIM_CD8_034_TCR.th.4.AIMposi.csv","0","0.000242311276794035","0.00820340088009996","0.000707019128795318","2"
"COVIDAIM_CD8_035_TCR.th.4.AIMposi.csv","0.0242549400712666","0.0209514377433235","0.0825419883607278","0.0288502174096787","52"
"COVIDAIM_CD8_038_TCR.th.4.AIMposi.csv","0.0753512642320857","0.0821652120250375","0.260293212555431","0.0913692376830105","249"
"COVIDAIM_CD8_040_TCR.th.4.AIMposi.csv","0.0126307295029051","0.0134373427277302","0.0977124288150317","0.0192541910479108","53"
