"class","X0","X1","X2","X3","X4","X5","Tcell","ID"
"0",186,24,18,263,105,143,"CD8","002"
"blue",35,24,8,9,62,73,"CD8","002"
"brown",13,302,5,3,8,2,"CD8","002"
"green",18,7,9,324,33,17,"CD8","002"
"invblue",10,0,0,0,17,1,"CD8","002"
"invbrown",14,8,4,29,6,15,"CD8","002"
"invgreen",4,0,0,3,11,4,"CD8","002"
"invred",10,8,15,28,31,14,"CD8","002"
"invturquoise",15,2,0,0,15,2,"CD8","002"
"invyellow",8,5,2,1,15,4,"CD8","002"
"red",55,2,1,0,18,4,"CD8","002"
"singlet",48,184,2,5,77,20,"CD8","002"
"turquoise",403,7,1,6,36,24,"CD8","002"
"yellow",21,20,15,202,29,387,"CD8","002"
NA,228,117,16,53,255,79,"CD8","002"
"0",49,15,61,5,11,5,"CD8","027"
"blue",105,11,157,13,2,0,"CD8","027"
"brown",30,551,20,0,8,2,"CD8","027"
"green",1,1,2,0,2,0,"CD8","027"
"invbrown",1,2,2,2,0,0,"CD8","027"
"invgreen",28,2,1,1,1,0,"CD8","027"
"invred",10,2,0,1,1,0,"CD8","027"
"invturquoise",3,2,5,0,0,0,"CD8","027"
"invyellow",6,136,7,1,4,1,"CD8","027"
"red",16,44,10,3,3,12,"CD8","027"
"singlet",56,102,3,0,21,1,"CD8","027"
"turquoise",16,40,24,31,2,3,"CD8","027"
"yellow",5,23,572,19,8,3,"CD8","027"
NA,224,242,74,11,111,4,"CD8","027"
